Date,VWAP
2015-09-29,24.752022985792294
2015-09-30,24.762509589616986
2015-10-01,24.458380995235625
2015-10-02,24.64041214692691
2015-10-05,24.81120055432406
2015-10-06,24.931049811044563
2015-10-07,24.86663270014887
2015-10-08,24.562503580624412
2015-10-09,25.011209017478706
2015-10-12,25.15352842706116
2015-10-13,25.08836304071494
2015-10-14,24.81644142842347
2015-10-15,25.05315132596095
2015-10-16,24.98723605739404
2015-10-19,24.98873697376845
2015-10-20,25.37600786262303
2015-10-21,25.696615943484293
2015-10-22,25.850930872199417
2015-10-23,26.565558621625627
2015-10-26,26.092884590155304
2015-10-27,25.849437764992555
2015-10-28,26.564808118747976
2015-10-29,26.928860529973434
2015-10-30,26.979804824496476
2015-11-02,27.1281197903805
2015-11-03,27.473449444868834
